free_space_ratio,service_size_ratio,cached_in_L1,cached_in_L2,cached_in_L3,service_charm,service_request_frequency,es_request_frequency,es_cache_miss_rate,least_freq_index,is_ugent,action
0.446195313,0.077148438,FALSE,TRUE,FALSE,2.98,0,0.001,1,4,FALSE,PRESERVE
0.446195313,0.060695313,FALSE,TRUE,FALSE,2.85,0,0.001,1,5,FALSE,PRESERVE
0.446195313,0.057875,FALSE,TRUE,FALSE,2.6,0.001,0.001,1,6,FALSE,PRESERVE
0.446195313,0.089054688,FALSE,TRUE,FALSE,2.57,0.001,0.001,1,7,FALSE,PRESERVE
0.417203125,0.078304688,FALSE,TRUE,FALSE,2.71,0,0.001,1,0,FALSE,PRESERVE
0.417203125,0.065015625,FALSE,TRUE,FALSE,2.35,0,0.001,1,1,FALSE,PRESERVE
0.417203125,0.096703125,FALSE,TRUE,FALSE,2.75,0,0.001,1,2,FALSE,PRESERVE
0.417203125,0.090539063,FALSE,TRUE,FALSE,2.24,0,0.001,1,3,FALSE,PRESERVE
0.417203125,0.08721875,FALSE,TRUE,FALSE,2.88,0,0.001,1,4,FALSE,PRESERVE
0.417203125,0.073921875,FALSE,TRUE,FALSE,3.31,0.001,0.001,1,5,FALSE,PRESERVE
0.417203125,0.09109375,FALSE,TRUE,FALSE,2.63,0.001,0.001,1,6,FALSE,PRESERVE
0.3384375,0.078304688,FALSE,TRUE,FALSE,2.71,0,0.001,1,0,FALSE,PRESERVE
0.3384375,0.065015625,FALSE,TRUE,FALSE,2.35,0,0.001,1,1,FALSE,PRESERVE
0.3384375,0.096703125,FALSE,TRUE,FALSE,2.75,0,0.001,1,2,FALSE,PRESERVE
0.3384375,0.090539063,FALSE,TRUE,FALSE,2.24,0,0.001,1,3,FALSE,PRESERVE
0.3384375,0.08721875,FALSE,TRUE,FALSE,2.88,0,0.001,1,4,FALSE,PRESERVE
0.3384375,0.078765625,FALSE,TRUE,FALSE,2.32,0,0.001,1,5,FALSE,PRESERVE
0.3384375,0.073921875,FALSE,TRUE,FALSE,3.31,0.001,0.001,1,6,FALSE,PRESERVE
0.3384375,0.09109375,FALSE,TRUE,FALSE,2.63,0.001,0.001,1,7,FALSE,PRESERVE
0.38790625,0.052554688,FALSE,TRUE,FALSE,2.35,0,0.001,1,0,FALSE,PRESERVE
0.38790625,0.08,FALSE,TRUE,FALSE,2.55,0,0.001,1,1,FALSE,PRESERVE
