es_load,free_storage_size_ratio_L1,free_storage_size_ratio_L2,can_L1_fit,can_L2_fit,service_size,estimated_fetch_time,is_popular,charm,service_request_frequency,nearby_servers_count,cached_in_nearby_servers,es_request_frequency,action
0.055,0.1505625,1.0,False,True,6.234,0.1458278647884037,False,2.26,0.0,0,False,0.001,L2
0.055,0.1505625,0.9756484375,False,True,6.369,0.1427368360952911,False,2.43,0.0,0,False,0.001,L2
0.055,0.1505625,0.95076953125,False,True,7.816,0.1163115287987345,False,3.58,0.001,0,False,0.001,L2
0.055,0.1505625,0.95076953125,True,True,3.638,0.249887550602229,False,2.96,0.0,0,False,0.001,L1
0.055,0.036875,0.95076953125,False,True,4.177,0.2176420658584891,False,2.86,0.0,0,False,0.001,L2
0.055,0.036875,0.934453125,False,True,6.926,0.1312577113905442,False,9.524270921174082,0.0,0,False,909.090909090909,L2
0.05,0.036875,0.9073984375,False,True,4.467,0.2238638907544213,False,10.835254057292277,3000.0,0,False,1250.0,L2
0.055,0.036875,0.88994921875,False,True,4.467,0.2035126279585648,False,10.835254057292277,2000.0,0,False,1428.571428571429,L2
0.055,0.036875,0.88994921875,False,True,4.467,0.2035126279585648,False,10.835254057292277,2000.0,0,False,1428.571428571429,L2
0.055,0.036875,0.88994921875,False,True,4.143,0.2194281701884888,False,11.496404504825993,1500.0,0,False,1428.571428571429,L2
0.05,0.036875,0.873765625,False,True,4.143,0.2413709872073376,False,11.496404504825993,1333.3333333333333,0,False,1250.0,L2
0.05,0.036875,0.873765625,False,True,4.143,0.2413709872073376,False,11.496404504825993,1333.3333333333333,0,False,1250.0,L2
0.05,0.036875,0.873765625,True,True,0.572,1.7482517482517483,False,11.20722239838084,0.0,0,False,1250.0,L1
0.05,0.019,0.873765625,False,True,8.089,0.1236246754852268,False,10.469973866190916,3000.0,0,False,2500.0,L2
0.04,0.019,0.84216796875,False,True,8.089,0.1545308443565335,False,10.469973866190916,2000.0,0,False,2000.0,L2
0.05,0.019,0.84216796875,False,True,8.089,0.1236246754852268,False,10.469973866190916,1666.6666666666667,0,False,2000.0,L2
0.04,0.019,0.84216796875,False,True,5.063,0.2468891961287774,False,10.437602652215777,3000.0,0,False,2500.0,L2
0.05,0.019,0.822390625,False,True,5.063,0.1975113569030219,False,10.437602652215777,1333.3333333333333,0,False,1666.6666666666667,L2
0.055,0.019,0.822390625,False,True,5.063,0.1795557790027472,False,10.437602652215777,1333.3333333333333,0,False,2000.0,L2
0.045,0.019,0.822390625,False,True,6.376,0.1742646033737627,False,10.04640881270476,1500.0,0,False,2000.0,L2
